drive	layout_category	hf_repo	revision	size_gib	path
d1	raw	google/gemma-4-31B	5dc307ed18be972e945cea1bfd3facf5bfd5fa39	58.281	/mnt/models/d1/raw/google/gemma-4-31B/5dc307ed18be972e945cea1bfd3facf5bfd5fa39
d1	raw	google/gemma-4-31B	latest	58.281	/mnt/models/d1/raw/google/gemma-4-31B/latest
d1	raw	google/gemma-4-31B-it	419b2efe421994fdfd3394e621983d4cc511cd4f	58.281	/mnt/models/d1/raw/google/gemma-4-31B-it/419b2efe421994fdfd3394e621983d4cc511cd4f
d1	raw	google/gemma-4-31B-it	latest	58.281	/mnt/models/d1/raw/google/gemma-4-31B-it/latest
d1	raw	google/recurrentgemma-9b-it	c079e8183308ba41c6f9454291d27a16bc0bbb23	17.955	/mnt/models/d1/raw/google/recurrentgemma-9b-it/c079e8183308ba41c6f9454291d27a16bc0bbb23
d1	raw	google/recurrentgemma-9b-it	latest	17.955	/mnt/models/d1/raw/google/recurrentgemma-9b-it/latest
d1	raw	meta-llama/Llama-3.3-70B-Instruct	6f6073b423013f6a7d4d9f39144961bfbfbc386b	246.441	/mnt/models/d1/raw/meta-llama/Llama-3.3-70B-Instruct/6f6073b423013f6a7d4d9f39144961bfbfbc386b
d1	raw	mistralai/Ministral-8B-Instruct-2410	2f494a194c5b980dfb9772cb92d26cbb671fce5a	29.906	/mnt/models/d1/raw/mistralai/Ministral-8B-Instruct-2410/2f494a194c5b980dfb9772cb92d26cbb671fce5a
d1	raw	mistralai/Ministral-8B-Instruct-2410	latest	29.906	/mnt/models/d1/raw/mistralai/Ministral-8B-Instruct-2410/latest
d1	raw	mistralai/Mistral-Large-Instruct-2411	ba78820945ae22361b0274cf0ae6d696c967c1a4	456.763	/mnt/models/d1/raw/mistralai/Mistral-Large-Instruct-2411/ba78820945ae22361b0274cf0ae6d696c967c1a4
d1	raw	mistralai/Mistral-Large-Instruct-2411	latest	456.763	/mnt/models/d1/raw/mistralai/Mistral-Large-Instruct-2411/latest
d1	uncensored	nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-BF16	7e74fe9a5a62b036155915a87dc28bff233f6206	88.370	/mnt/models/d1/uncensored/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-BF16/7e74fe9a5a62b036155915a87dc28bff233f6206
d1	uncensored	nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-Base-BF16	46cc6113d364942e7742b0b2afd35b5db5058b29	32.546	/mnt/models/d1/uncensored/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-Base-BF16/46cc6113d364942e7742b0b2afd35b5db5058b29
d1	raw	tiiuae/falcon-180B	d2ea5531862d4fe907280234990e6380d2befd97	12.560	/mnt/models/d1/raw/tiiuae/falcon-180B/d2ea5531862d4fe907280234990e6380d2befd97
d1	quantized	unsloth/DeepSeek-V3-GGUF	6b9a45d8a30b48660644560df90e5ded5c0cb0e9	210.333	/mnt/models/d1/quantized/unsloth/DeepSeek-V3-GGUF/6b9a45d8a30b48660644560df90e5ded5c0cb0e9
d2	raw	CohereLabs/c4ai-command-r-plus-08-2024	e808c1a2249354ca211c9f08d1338e5039f633f8	193.375	/mnt/models/d2/raw/CohereLabs/c4ai-command-r-plus-08-2024/e808c1a2249354ca211c9f08d1338e5039f633f8
d2	raw	CohereLabs/c4ai-command-r-plus-08-2024	latest	193.375	/mnt/models/d2/raw/CohereLabs/c4ai-command-r-plus-08-2024/latest
d2	raw	Qwen/Qwen2.5-14B-Instruct	cf98f3b3bbb457ad9e2bb7baf9a0125b6b88caa8	27.522	/mnt/models/d2/raw/Qwen/Qwen2.5-14B-Instruct/cf98f3b3bbb457ad9e2bb7baf9a0125b6b88caa8
d2	raw	Qwen/Qwen2.5-14B-Instruct	latest	27.522	/mnt/models/d2/raw/Qwen/Qwen2.5-14B-Instruct/latest
d2	raw	Qwen/Qwen2.5-14B-Instruct-1M	620fad32de7bdd2293b3d99b39eba2fe63e97438	27.522	/mnt/models/d2/raw/Qwen/Qwen2.5-14B-Instruct-1M/620fad32de7bdd2293b3d99b39eba2fe63e97438
d2	raw	Qwen/Qwen2.5-14B-Instruct-1M	latest	27.522	/mnt/models/d2/raw/Qwen/Qwen2.5-14B-Instruct-1M/latest
d2	raw	Qwen/Qwen2.5-32B-Instruct	5ede1c97bbab6ce5cda5812749b4c0bdf79b18dd	61.038	/mnt/models/d2/raw/Qwen/Qwen2.5-32B-Instruct/5ede1c97bbab6ce5cda5812749b4c0bdf79b18dd
d2	raw	Qwen/Qwen2.5-32B-Instruct	latest	61.038	/mnt/models/d2/raw/Qwen/Qwen2.5-32B-Instruct/latest
